# Saving: 0.02 s

time,angle,angleD,angleDD,angle_cos,angle_sin,position,positionD,positionDD,Q,Q_applied,u,target_position,target_equilibrium,L,Q_update_time,D_angle_sin,D_angle_cos,D_angleD,D_position,D_positionD,Q_applied_-1
1.5,2.9680567,6.334682,-17.230343,-0.9849804,0.17266628,0.0062873266,-0.0762385,6.232624,0.15976231,0.5494368,1.4395244,0.06974776,-1.0,0.1975,0.016012916,-6.1388087,-0.68871444,-16.956154,-0.023786211,5.5664816,0.24579865
1.52,3.0916817,5.995559,8.336291,-0.9987547,0.049890216,0.005811603,0.03509103,-1.7952697,0.18491325,-0.08696237,-0.2278414,0.0710115,-1.0,0.1975,0.0155105,-6.0449243,0.0639469,4.3316884,0.021809524,-1.2722981,0.5494368
1.54,-3.0705247,6.082193,-1.5971227,-0.99747574,-0.07100815,0.006247793,0.009645092,-0.36543077,0.20676833,-0.054329365,-0.14234293,0.07227205,-1.0,0.1975,0.017285332,-5.9947762,0.79334754,-4.745297,0.008016762,-0.06708402,-0.08696237
1.56,-2.94951,5.987287,-24.931173,-0.9816088,-0.19090356,0.006408128,0.008303413,4.691617,0.2365721,0.37738973,0.98876107,0.0735254,-1.0,0.1975,0.016832292,-5.5831056,1.4240164,-24.557968,0.04746003,4.1295347,-0.054329365
1.58,-2.8342087,5.496125,-21.84056,-0.95312834,-0.30256623,0.0073573333,0.09089452,2.8361406,0.25604278,0.3121734,0.8178943,0.074767515,-1.0,0.1975,0.016781334,-4.9550877,1.8671471,-22.202799,0.114649065,2.510246,0.37738973
1.6,-2.7282553,5.0520697,-26.739326,-0.91578543,-0.4016679,0.009650312,0.1410994,3.3058925,0.2607794,0.42904657,1.124102,0.07599439,-1.0,0.1975,0.016655708,-4.308071,2.142321,-26.437618,0.16836312,2.850939,0.3121734
1.62,-2.6319914,4.523318,-1.1458975,-0.87293905,-0.48782924,0.0130175715,0.19811812,-5.211893,0.26766968,-0.3419221,-0.8958359,0.077201985,-1.0,0.1975,0.01741775,-3.8145416,2.362313,-5.6307845,0.1560214,-4.345188,0.42904657
1.64,-2.5422256,4.410702,-32.380764,-0.82569283,-0.56412,0.016137997,0.111214444,3.5470135,0.2774631,0.3843225,1.0069249,0.078386284,-1.0,0.1975,0.016490458,-3.3054473,2.4641745,-31.535667,0.14007618,2.9902785,-0.3419221
1.66,-2.4597447,3.7799895,-48.227894,-0.7764094,-0.6302289,0.018939517,0.17101996,8.323534,0.27826074,1.0138193,2.6562066,0.07954327,-1.0,0.1975,0.016867708,-2.539482,2.2071621,-44.768044,0.2387578,7.024817,0.3843225
1.68,-2.39244,2.8846295,-21.541697,-0.7322662,-0.6810185,0.023714669,0.31151617,-1.4340614,0.26102775,0.25302422,0.66292346,0.08066891,-1.0,0.1975,0.016543834,-1.9154572,1.8797601,-22.756414,0.29956344,-1.2617435,1.0138193
1.7,-2.3387585,2.429499,-18.528801,-0.6946708,-0.7193278,0.029705968,0.28628117,-3.1852548,0.24761096,0.023556784,0.06171877,0.08175919,-1.0,0.1975,0.016735084,-1.5280142,1.655306,-20.307262,0.25992176,-2.767035,0.25302422
1.72,-2.2936997,2.023354,-12.108916,-0.6615647,-0.74988806,0.034904398,0.23094052,-6.344292,0.24213137,-0.41982853,-1.0999507,0.08281009,-1.0,0.1975,0.01726675,-1.2287718,1.4473035,-14.952173,0.17858462,-5.48356,0.023556784
1.74,-2.255726,1.7243109,-35.9104,-0.63261867,-0.7744635,0.038476087,0.12126943,2.898793,0.22211035,0.4074282,1.0674618,0.08381758,-1.0,0.1975,0.016404375,-0.8739718,1.101176,-35.052555,0.14490108,2.4541383,-0.41982853
1.76,-2.2276082,1.0232605,-17.087727,-0.61059517,-0.7919429,0.041374106,0.17035215,-5.37849,0.2142586,-0.4144758,-1.0859265,0.08477763,-1.0,0.1975,0.0166295,-0.5184685,0.6845302,-19.033804,0.12586968,-4.664468,0.4074282
1.78,-2.2104337,0.64258474,-42.169743,-0.5969046,-0.80231225,0.043891497,0.07706288,5.402314,0.21558438,0.626689,1.6419251,0.08568624,-1.0,0.1975,0.016140584,-0.1619251,0.21888933,-40.497856,0.12158298,4.6593566,-0.4144758
1.8,-2.2049882,-0.16737165,-27.322014,-0.5925268,-0.80555075,0.046323154,0.17024992,-1.1901922,0.20407046,0.0596357,0.15624553,0.086539365,-1.0,0.1975,0.016335625,0.24723287,-0.33321214,-27.614738,0.16045043,-1.0225573,0.626689
1.82,-2.2132866,-0.71966916,-30.72339,-0.59919107,-0.8006061,0.04953218,0.14979868,0.41225314,0.19649348,0.19915397,0.5217834,0.087332994,-1.0,0.1975,0.016306415,0.6039983,-0.79051036,-30.4711,0.15333869,0.38269645,0.0596357
1.84,-2.2331839,-1.3290906,-15.434182,-0.61500126,-0.7885261,0.05259895,0.1574526,-5.937824,0.18826365,-0.5031574,-1.3182722,0.0880631,-1.0,0.1975,0.017243333,0.9246507,-1.1501353,-16.842257,0.10845746,-5.1272874,0.19915397
1.86,-2.2626996,-1.6659354,-34.22756,-0.63800395,-0.7700331,0.054768097,0.054906953,2.325177,0.18651369,0.22406365,0.58704674,0.08872566,-1.0,0.1975,0.017659668,1.2856793,-1.4909878,-33.27755,0.07440772,2.066384,-0.5031574
1.88,-2.3020773,-2.3314857,-36.56536,-0.6678237,-0.74431956,0.05625625,0.0962346,3.5354035,0.19035302,0.4162819,1.0906585,0.089316666,-1.0,0.1975,0.017260542,1.8231857,-1.9266623,-35.1297,0.12582329,3.129143,0.22406365
1.9,-2.3551345,-3.034079,-15.187328,-0.7063569,-0.7078559,0.058772713,0.1588174,-4.1064105,0.18210962,-0.320789,-0.84046715,0.089832075,-1.0,0.1975,0.016649583,2.3115747,-2.1739295,-15.705445,0.12497914,-3.538512,0.4162819
1.92,-2.4186096,-3.3481877,-44.721516,-0.74983543,-0.66162443,0.061272293,0.08804722,7.11469,0.16833895,0.75255895,1.9717044,0.09026787,-1.0,0.1975,0.016894542,2.8899257,-2.3640394,-41.718906,0.14722423,6.2276225,-0.320789
1.94,-2.493301,-4.18257,-3.1233025,-0.79711646,-0.6038256,0.06421679,0.21260029,-6.323047,0.14212649,-0.46358162,-1.2145838,0.09062003,-1.0,0.1975,0.016864792,3.4636114,-2.4009132,-3.998331,0.16015,-5.511555,0.75255895
1.96,-2.5776134,-4.2625365,-26.450459,-0.8451347,-0.53455347,0.06741979,0.10236929,2.1101208,0.12765478,0.23138362,0.6062251,0.090884544,-1.0,0.1975,0.017100958,3.896486,-2.2262623,-24.289774,0.119660534,1.7958919,-0.46358162
1.98,-2.667396,-4.7483315,-14.628623,-0.8896599,-0.45662382,0.069813,0.1382871,-0.62741846,0.12308742,0.022983417,0.06021655,0.09105737,-1.0,0.1975,0.01674,4.435983,-2.0101924,-13.126481,0.13267708,-0.6246677,0.23138362
2.0,-2.7648385,-5.010861,-9.617098,-0.9298637,-0.36790425,0.07246654,0.12579376,-1.0794398,0.1106309,-0.02081199,-0.05452741,0.091134496,-1.0,0.1975,0.016708834,4.8192697,-1.628472,-8.0466585,0.116238855,-1.0536845,0.022983417
2.02,-2.8666217,-5.171794,-37.024796,-0.9624331,-0.27151895,0.07479131,0.104720086,7.4410477,0.09436594,0.8096416,2.121261,0.091010444,-1.0,0.1975,0.016754542,5.337744,-1.1949968,-31.0041,0.16495043,6.2068014,-0.02081199
